,Bankrupt,TA,GP,Sales,Cash,LT Debt,Inventories,Current liabilities,Retained earnings,Current assets,EBIT,Operating income,ROA,ROE,ROS,NI,WC
6561,,42182000,688000,17938000,,1825000.0,18086000.0,34789000.0,5558000.0,42149000,465000.0,688000.0,-0.0224,-0.1755,-0.0581,-1043000.0,5568000.0
6562,,86604000,13549000,104080000,1053000.0,48517000.0,4972000.0,31061000.0,7016000.0,83611000,1312000.0,6006000.0,0.0104,0.145,0.0091,950000.0,7026000.0
6563,,314092000,7519000,278410000,67264000.0,518000.0,20468000.0,309873000.0,3487000.0,313177000,2677000.0,3422000.0,0.008,0.701,0.0069,1921000.0,3701000.0
6564,,53753000,5061000,171867000,8573000.0,,794000.0,36751000.0,16691000.0,51760000,4459000.0,5061000.0,0.0698,0.2307,0.0205,3517000.0,17002000.0
6565,,27413000,1921000,21729000,4425000.0,,4715000.0,3401000.0,24002000.0,25244000,1113000.0,186000.0,0.0323,0.0349,0.041,890000.0,24012000.0
6566,,3891000,5394000,23718000,356000.0,,1507000.0,3004000.0,877000.0,3164000,242000.0,228000.0,0.0764,0.3067,0.0102,242000.0,887000.0
6567,,13918000,2853000,3457000,257000.0,,,2577000.0,11331000.0,296000,2562000.0,2598000.0,0.1717,0.238,0.6977,2412000.0,11341000.0
6568,,2301462000,50661000,437430000,15481000.0,725751000.0,535238000.0,1532383000.0,22318000.0,2188099000,704000.0,13520000.0,-0.0004,-0.0205,-0.0021,-897000.0,43328000.0
6569,,3571748000,326305000,3998547000,453673000.0,,479520000.0,3372706000.0,198042000.0,3566352000,148952000.0,308398000.0,0.0362,0.8334,0.0293,117087000.0,199042000.0
6570,,137350000,12354000,96980000,5195000.0,,5614000.0,44391000.0,88451000.0,135600000,11262000.0,8352000.0,0.062,0.0937,0.0922,8939000.0,92959000.0
6571,,12998000,6302000,18304000,562000.0,466000.0,4827000.0,19504000.0,-6982000.0,11139000,-2118000.0,3056000.0,-0.2464,0.7028,-0.1981,-3626000.0,-6972000.0
6572,,30743000,364000,677000,27000.0,33313000.0,143000.0,27104000.0,-121137000.0,932000,-92498000.0,-401000.0,-1.0596,-5.5912,-136.4845,-92400000.0,-29674000.0
6573,2017-03-07,104749000,50771000,50771000,3000000.0,197742000.0,,29318000.0,-143000000.0,56695000,-28399000.0,50411000.0,-0.2005,0.2806,-0.5594,-28399000.0,-122311000.0
